feature,importance
blood_glucose,3.152000082155646
medication_count,0.7660085014541724
systolic_bp,0.7431251843951115
age,0.45038808339106606
blood_glucose_log,0.40420108887367495
exercise_level_0,0.36364343449332565
medication_count_log,0.3580589897476429
cholesterol,0.34413939265840515
smoking_status,0.34231511351775384
gender_0,0.33773790312807617
age_group_<40,0.317879567720567
bmi_group_Underweight,0.317879567720567
family_history_0,0.2593277244599015
bmi,0.2506351046434137
diastolic_bp,0.19945191146248545
symptoms_score,0.1888529919351316
smoking_status_2,0.11903922563929165
smoking_status_1,0.1042366622391742
smoking_status_0,0.09460367984210426
cholesterol_smoking_interaction,0.09245513225819069
exercise_level,0.07743893204119869
family_history,0.05855184326067703
family_history_1,0.05855184326067703
exercise_level_2,0.03167506526844856
age_bmi_interaction,0.030577744615242364
heart_rate,0.026214854582939612
gender_1,0.019858335407494185
gender,0.019858335407494185
exercise_level_1,0.014088801504297437
many_meds,0.00018933950997029522
high_bp,0.0
age_group,0.0
bmi_group,0.0
